,phrase,label,sentiment,subjectivity,language,count
Fallas Festival,Fallas Festival,EVENT,,,en,1.0
1701-1714,1701-1714,DATE,,,en,1.0
the War of the Spanish Succession,the War of the Spanish Succession,EVENT,,,en,1.0
Article 9,Article 9,WORK_OF_ART,,,en,1.0
Jamaican,Jamaican,NORP,,,en,1.0
200 Years,200 Years,DATE,,,en,1.0
about 20 minutes,about 20 minutes,TIME,,,en,1.0
"March 29, 2026","March 29, 2026",DATE,,,en,1.0
6–12,6–12,CARDINAL,,,en,1.0
Friday night,Friday night,TIME,,,en,1.0
the Easter weekend,the Easter weekend,DATE,,,en,1.0
the San Diego Zoo Safari Park,the San Diego Zoo Safari Park,FAC,,,en,1.0
1932,1932,DATE,,,en,1.0
685,685,MONEY,,,en,1.0
almost a month to the day,almost a month to the day,DATE,,,en,1.0
An Evening With…,An Evening With…,WORK_OF_ART,,,en,1.0
two dozen,two dozen,CARDINAL,,,en,1.0
35th,35th,ORDINAL,,,en,1.0
The Florida Film Festival,The Florida Film Festival,EVENT,,,en,1.0
March 27,March 27,DATE,,,en,1.0
about 70,about 70,CARDINAL,,,en,1.0
$260m,$260m,MONEY,,,en,1.0
the Fifa World Cup,the Fifa World Cup,EVENT,,,en,1.0
Whites,Whites,NORP,,,en,1.0
Every few years,Every few years,DATE,,,en,1.0
97 million,97 million,CARDINAL,,,en,1.0
4 million,4 million,CARDINAL,,,en,1.0
Colonial American History,Colonial American History,EVENT,,,en,1.0
Roughly 140 million,Roughly 140 million,CARDINAL,,,en,1.0
more than $2 billion,more than $2 billion,MONEY,,,en,1.0
"9,446","9,446",CARDINAL,,,en,1.0
30 minutes,30 minutes,TIME,,,en,1.0
nearly five hours,nearly five hours,TIME,,,en,1.0
John F. Kennedy International Airport,John F. Kennedy International Airport,FAC,,,en,1.0
the World Cup:,the World Cup:,EVENT,,,en,1.0
present-day,present-day,DATE,,,en,1.0
Denisovans,Denisovans,NORP,,,en,1.0
Neanderthals,Neanderthals,NORP,,,en,1.0
Papuans,Papuans,NORP,,,en,1.0
143,143,CARDINAL,,,en,1.0
200 million,200 million,CARDINAL,,,en,1.0
Sunday afternoon,Sunday afternoon,TIME,,,en,1.0
54,54,CARDINAL,,,en,1.0
At least a dozen,At least a dozen,CARDINAL,,,en,1.0
Decades,Decades,DATE,,,en,1.0
the past 30 years,the past 30 years,DATE,,,en,1.0
three decades,three decades,DATE,,,en,1.0
Asian Cup,Asian Cup,EVENT,,,en,1.0
Avatar: Fire And Ash’,Avatar: Fire And Ash’,WORK_OF_ART,,,en,1.0
the 2026 FIFA World Cup,the 2026 FIFA World Cup,EVENT,,,en,1.0
More than a year,More than a year,DATE,,,en,1.0
a month,a month,DATE,,,en,1.0
daylight hours,daylight hours,TIME,,,en,1.0
Bubble Wrap Appreciation Day,Bubble Wrap Appreciation Day,PRODUCT,,,en,1.0
seasons,seasons,DATE,,,en,1.0
18 years,18 years,DATE,,,en,1.0
Day,Day,DATE,,,en,1.0
28 years,28 years,DATE,,,en,1.0
million-dollar,million-dollar,MONEY,,,en,1.0
23rd,23rd,DATE,,,en,1.0
a big week,a big week,DATE,,,en,1.0
Death in Paradise,Death in Paradise,WORK_OF_ART,,,en,1.0
Silent Witness,Silent Witness,WORK_OF_ART,,,en,1.0
A Taste For Murder,A Taste For Murder,WORK_OF_ART,,,en,1.0
$289 Billion,$289 Billion,MONEY,,,en,1.0
nearly five percent,nearly five percent,PERCENT,,,en,1.0
Christmas 2026 Premiere,Christmas 2026 Premiere,DATE,,,en,1.0
the last Monday,the last Monday,DATE,,,en,1.0
Evolution IV GSR,Evolution IV GSR,PRODUCT,,,en,1.0
Lancer Evolution IV GSR,Lancer Evolution IV GSR,PRODUCT,,,en,1.0
"January 26, 2026","January 26, 2026",DATE,,,en,1.0
Vicki,Vicki,NORP,,,en,1.0
the next 24 hours,the next 24 hours,TIME,,,en,1.0
West Australian,West Australian,NORP,,,en,1.0
recent days,recent days,DATE,,,en,1.0
"March 11, 2026","March 11, 2026",DATE,,,en,1.0
January of 2026,January of 2026,DATE,,,en,1.0
30.9°C,30.9°C,MONEY,,,en,1.0
March 5,March 5,DATE,,,en,1.0
the next 3 months of winter,the next 3 months of winter,DATE,,,en,1.0
Transwoman,Transwoman,NORP,,,en,1.0
the spring season ahead,the spring season ahead,DATE,,,en,1.0
We Had Whistles,We Had Whistles,WORK_OF_ART,,,en,1.0
Photo and Video Contest,Photo and Video Contest,EVENT,,,en,1.0
Saturn,Saturn,PRODUCT,,,en,1.0
just 500 kilometers,just 500 kilometers,QUANTITY,,,en,1.0
about 6.5,about 6.5,CARDINAL,,,en,1.0
19,19,CARDINAL,,,en,1.0
Last week,Last week,DATE,,,en,1.0
2 am,2 am,MONEY,,,en,1.0
Red Center,Red Center,FAC,,,en,1.0
November 2019,November 2019,DATE,,,en,1.0
3C,3C,CARDINAL,,,en,1.0
Before It Melts,Before It Melts,WORK_OF_ART,,,en,1.0
The Art Of Snow,The Art Of Snow,WORK_OF_ART,,,en,1.0
tens of thousands,tens of thousands,CARDINAL,,,en,1.0
more than a season,more than a season,DATE,,,en,1.0
Lake Louise,Lake Louise,FAC,,,en,1.0
Pixel 9a,Pixel 9a,PRODUCT,,,en,1.0
the Bruce Highway,the Bruce Highway,FAC,,,en,1.0
This Terrible War,This Terrible War,EVENT,,,en,1.0
20th Anniversary,20th Anniversary,DATE,,,en,1.0
"January 31, 2026","January 31, 2026",DATE,,,en,1.0
Super Eight,Super Eight,EVENT,,,en,1.0
the T20 World Cup's,the T20 World Cup's,EVENT,,,en,1.0
| Weekend 9,| Weekend 9,DATE,,,en,1.0
a decade,a decade,DATE,,,en,1.0
Approximately 300,Approximately 300,CARDINAL,,,en,1.0
a few years,a few years,DATE,,,en,1.0
wettest month in decades,wettest month in decades,DATE,,,en,1.0
Victorian,Victorian,NORP,,,en,1.0
the second season,the second season,DATE,,,en,1.0
New Road to Tour North America,New Road to Tour North America,FAC,,,en,1.0
March 2026,March 2026,DATE,,,en,1.0
the Qinghai-Tibet Plateau,the Qinghai-Tibet Plateau,FAC,,,en,1.0
the Qinghai–Tibet Plateau,the Qinghai–Tibet Plateau,FAC,,,en,1.0
a week,a week,DATE,,,en,1.0
seven days,seven days,DATE,,,en,1.0
677,677,MONEY,,,en,1.0
February 20,February 20,DATE,,,en,1.0
the 2000s and 2010s,the 2000s and 2010s,DATE,,,en,1.0
"Feb 17, 2026","Feb 17, 2026",DATE,,,en,1.0
"Feb. 15, 2026","Feb. 15, 2026",DATE,,,en,1.0
Feb. 2,Feb. 2,DATE,,,en,1.0
Later that month,Later that month,DATE,,,en,1.0
Seedance 2.0,Seedance 2.0,FAC,,,en,1.0
The Clearing,The Clearing,WORK_OF_ART,,,en,1.0
Mercury Prize,Mercury Prize,WORK_OF_ART,,,en,1.0
Fri,Fri,DATE,,,en,1.0
the next seven days,the next seven days,DATE,,,en,1.0
February 6,February 6,DATE,,,en,1.0
Over 80,Over 80,CARDINAL,,,en,1.0
178,178,CARDINAL,,,en,1.0
Winter Olympics 2026 Free,Winter Olympics 2026 Free,EVENT,,,en,1.0
31 January,31 January,DATE,,,en,1.0
ByteDance,ByteDance,PRODUCT,,,en,1.0
fourth,fourth,ORDINAL,,,en,1.0
Winter Olympics Speed Skating 2026,Winter Olympics Speed Skating 2026,EVENT,,,en,1.0
Slovenian,Slovenian,NORP,,,en,1.0
Dolomites,Dolomites,NORP,,,en,1.0
2 million,2 million,CARDINAL,,,en,1.0
the last four weeks,the last four weeks,DATE,,,en,1.0
Chocolonely,Chocolonely,WORK_OF_ART,,,en,1.0
every day of 2026,every day of 2026,DATE,,,en,1.0
11 million,11 million,CARDINAL,,,en,1.0
the Week Ahead,the Week Ahead,DATE,,,en,1.0
summer festival,summer festival,EVENT,,,en,1.0
The Rooftop at Pier 17,The Rooftop at Pier 17,WORK_OF_ART,,,en,1.0
Great Barrier Reef,Great Barrier Reef,FAC,,,en,1.0
the Great Barrier Reef Can,the Great Barrier Reef Can,EVENT,,,en,1.0
2000TREES 2026,2000TREES 2026,DATE,,,en,1.0
13 years,13 years,DATE,,,en,1.0
Blockbuster Video,Blockbuster Video,WORK_OF_ART,,,en,1.0
just 10 days,just 10 days,DATE,,,en,1.0
"871,000","871,000",CARDINAL,,,en,1.0
the next four days,the next four days,DATE,,,en,1.0
Holocene,Holocene,PRODUCT,,,en,1.0
up to 200 millimetres,up to 200 millimetres,QUANTITY,,,en,1.0
seventeen,seventeen,CARDINAL,,,en,1.0
the Great Synagogue,the Great Synagogue,FAC,,,en,1.0
this upcoming weekend,this upcoming weekend,DATE,,,en,1.0
as much as 90 percent,as much as 90 percent,PERCENT,,,en,1.0
arboviruses,arboviruses,PRODUCT,,,en,1.0
2-6 inches,2-6 inches,QUANTITY,,,en,1.0
6 inches,6 inches,QUANTITY,,,en,1.0
119,119,CARDINAL,,,en,1.0
seasonal,seasonal,DATE,,,en,1.0
year-round,year-round,DATE,,,en,1.0
at least 36,at least 36,CARDINAL,,,en,1.0
five years,five years,DATE,,,en,1.0
250 million,250 million,CARDINAL,,,en,1.0
some 50 years,some 50 years,DATE,,,en,1.0
682,682,MONEY,,,en,1.0
Republican,Republican,NORP,,,en,1.0
"Mar 9, 2026","Mar 9, 2026",DATE,,,en,1.0
Industrial’ System of Exploitation,Industrial’ System of Exploitation,WORK_OF_ART,,,en,1.0
FRENCH,FRENCH,NORP,,,en,1.0
the previous days,the previous days,DATE,,,en,1.0
3.7,3.7,CARDINAL,,,en,1.0
National Meatball Day,National Meatball Day,DATE,,,en,1.0
"Monday, March 8, 2026","Monday, March 8, 2026",DATE,,,en,1.0
just before 11 p.m.,just before 11 p.m.,TIME,,,en,1.0
Classic,Classic,PRODUCT,,,en,1.0
at least eight,at least eight,CARDINAL,,,en,1.0
"March 08, 2026 (GLOBE NEWSWIRE)","March 08, 2026 (GLOBE NEWSWIRE)",DATE,,,en,1.0
Seven days,Seven days,DATE,,,en,1.0
Day 7,Day 7,DATE,,,en,1.0
1/31/2026,1/31/2026,DATE,,,en,1.0
more than a thousand,more than a thousand,CARDINAL,,,en,1.0
Mar 8),Mar 8),DATE,,,en,1.0
"April 5, 1815","April 5, 1815",DATE,,,en,1.0
the Year Without a Summer,the Year Without a Summer,DATE,,,en,1.0
12 months,12 months,DATE,,,en,1.0
January 31 - February 3,January 31 - February 3,DATE,,,en,1.0
1.30,1.30,MONEY,,,en,1.0
early February,early February,DATE,,,en,1.0
March 2019,March 2019,DATE,,,en,1.0
April Premiere Set,April Premiere Set,EVENT,,,en,1.0
billions of dollars,billions of dollars,MONEY,,,en,1.0
at least two,at least two,CARDINAL,,,en,1.0
90km/h,90km/h,QUANTITY,,,en,1.0
the Secrets of Their Habitat Black bears,the Secrets of Their Habitat Black bears,WORK_OF_ART,,,en,1.0
Electronic Fog of War:,Electronic Fog of War:,WORK_OF_ART,,,en,1.0
Iraqi,Iraqi,NORP,,,en,1.0
more than a year,more than a year,DATE,,,en,1.0
this morning,this morning,TIME,,,en,1.0
100km/h gale,100km/h gale,QUANTITY,,,en,1.0
the Museum of Jewish Art,the Museum of Jewish Art,FAC,,,en,1.0
Another War,Another War,EVENT,,,en,1.0
Trump,Trump,PRODUCT,,,en,1.0
Feb. 28,Feb. 28,DATE,,,en,1.0
47 years,47 years,DATE,,,en,1.0
Fulvia Coupe,Fulvia Coupe,PRODUCT,,,en,1.0
27 per cent,27 per cent,MONEY,,,en,1.0
2014,2014,DATE,,,en,1.0
1.49,1.49,CARDINAL,,,en,1.0
Covid,Covid,NORP,,,en,1.0
10th-wettest season,10th-wettest season,DATE,,,en,1.0
Last year,Last year,DATE,,,en,1.0
its final days,its final days,DATE,,,en,1.0
just two days,just two days,DATE,,,en,1.0
almost a year's,almost a year's,DATE,,,en,1.0
wet weekend,wet weekend,DATE,,,en,1.0
two days,two days,DATE,,,en,1.0
six-and-a-half years,six-and-a-half years,QUANTITY,,,en,1.0
Two years ago,Two years ago,DATE,,,en,1.0
Rally Sweden,Rally Sweden,FAC,0.8,1.0,en,1.0
the Twenty20 World Cup,the Twenty20 World Cup,EVENT,,,en,1.0
seventh,seventh,ORDINAL,,,en,1.0
early next week,early next week,DATE,,,en,1.0
more than eleven million,more than eleven million,CARDINAL,,,en,1.0
next weekend,next weekend,DATE,,,en,1.0
between 3 to 6 inches,between 3 to 6 inches,QUANTITY,,,en,1.0
another inch,another inch,QUANTITY,,,en,1.0
"January 25, 2026","January 25, 2026",DATE,,,en,1.0
as much as two feet,as much as two feet,QUANTITY,,,en,1.0
60 centimeters,60 centimeters,QUANTITY,,,en,1.0
Tens of millions,Tens of millions,CARDINAL,,,en,1.0
dozen,dozen,CARDINAL,,,en,1.0
up to three feet,up to three feet,QUANTITY,,,en,1.0
up to 120 millimetres,up to 120 millimetres,QUANTITY,,,en,1.0
At least four,At least four,CARDINAL,,,en,1.0
more than a decade,more than a decade,DATE,,,en,1.0
Alison Flood,Alison Flood,WORK_OF_ART,,,en,1.0
856,856,MONEY,,,en,1.0
Marian,Marian,NORP,,,en,1.0
Our Lady of Good Help,Our Lady of Good Help,WORK_OF_ART,,,en,1.0
10 2026,10 2026,DATE,,,en,1.0
about wildfire season,about wildfire season,DATE,,,en,1.0
balmy winter,balmy winter,DATE,,,en,1.0
first day,first day,DATE,,,en,1.0
February 1,February 1,DATE,,,en,1.0
30–40 kmph,30–40 kmph,QUANTITY,,,en,1.0
Season 5,Season 5,DATE,,,en,1.0
the seventh straight year,the seventh straight year,DATE,,,en,1.0
2018,2018,DATE,,,en,1.0
a couple of days,a couple of days,DATE,,,en,1.0
NSW,NSW,NORP,0.5,0.5,en,1.0
1974,1974,DATE,,,en,1.0
6 metres,6 metres,QUANTITY,,,en,1.0
50C summers,50C summers,DATE,,,en,1.0
Tuong,Tuong,NORP,,,en,1.0
05,05,MONEY,,,en,1.0
14 2026,14 2026,DATE,,,en,1.0
two-thirds,two-thirds,CARDINAL,,,en,1.0
Anzac Day Test,Anzac Day Test,EVENT,,,en,1.0
April  17,April  17,DATE,,,en,1.0
Terra,Terra,WORK_OF_ART,,,en,1.0
"April 17, 2026 (GLOBE NEWSWIRE) —","April 17, 2026 (GLOBE NEWSWIRE) —",DATE,,,en,1.0
April 1,April 1,DATE,,,en,1.0
"April 17, 2026","April 17, 2026",DATE,,,en,1.0
101,101,CARDINAL,,,en,1.0
Weeks,Weeks,DATE,,,en,1.0
April 6,April 6,DATE,,,en,1.0
the “Company”,the “Company”,LAW,,,en,1.0
Great Ocean Road,Great Ocean Road,FAC,,,en,1.0
RPX Gold,RPX Gold,WORK_OF_ART,,,en,1.0
Ibero,Ibero,WORK_OF_ART,,,en,1.0
"April 17, 2026 (","April 17, 2026 (",DATE,,,en,1.0
Best Efforts” LIFE Offering and Private Placement,Best Efforts” LIFE Offering and Private Placement,WORK_OF_ART,,,en,1.0
Annual,Annual,DATE,,,en,1.0
96 kph,96 kph,QUANTITY,,,en,1.0
60 mph,60 mph,QUANTITY,,,en,1.0
"more than 1,100","more than 1,100",CARDINAL,,,en,1.0
over 51 million,over 51 million,CARDINAL,,,en,1.0
South American,South American,NORP,,,en,1.0
Fifteen,Fifteen,CARDINAL,,,en,1.0
Got Money Troubles,Got Money Troubles,WORK_OF_ART,,,en,1.0
"February 12, 2026 and March 30, 2026","February 12, 2026 and March 30, 2026",DATE,,,en,1.0
100bn,100bn,MONEY,,,en,1.0
last winter,last winter,DATE,,,en,1.0
Margo's Got Money Troubles,Margo's Got Money Troubles,WORK_OF_ART,,,en,1.0
2050,2050,DATE,,,en,1.0
a few days ago,a few days ago,DATE,,,en,1.0
Next Month,Next Month,DATE,,,en,1.0
I Love Boosters,I Love Boosters,WORK_OF_ART,,,en,1.0
tens of millions,tens of millions,CARDINAL,,,en,1.0
33 years,33 years,DATE,,,en,1.0
over 2.7 million,over 2.7 million,CARDINAL,,,en,1.0
each afternoon,each afternoon,TIME,,,en,1.0
Studio Pierrot,Studio Pierrot,EVENT,,,en,1.0
13–143 days,13–143 days,DATE,,,en,1.0
Magical Sisters LuluttoLilly Anime With English,Magical Sisters LuluttoLilly Anime With English,WORK_OF_ART,,,en,1.0
33rd,33rd,ORDINAL,,,en,1.0
"April 17, 2026 (GLOBE NEWSWIRE)","April 17, 2026 (GLOBE NEWSWIRE)",DATE,,,en,1.0
March 12-18,March 12-18,DATE,,,en,1.0
SXSW 2026 Film,SXSW 2026 Film,EVENT,,,en,1.0
Ready or Not 2: Here I Come,Ready or Not 2: Here I Come,WORK_OF_ART,,,en,1.0
Winnipeg,Winnipeg,FAC,-0.20454545454545456,0.4583333333333333,en,1.0
Amazon,Amazon,PRODUCT,,,en,1.0
Boots Riley,Boots Riley,WORK_OF_ART,,,en,1.0
Absolutes,Absolutes,PRODUCT,,,en,1.0
up to 300,up to 300,CARDINAL,,,en,1.0
the last 26 years,the last 26 years,DATE,,,en,1.0
$562 Million,$562 Million,MONEY,,,en,1.0
Suniva,Suniva,PRODUCT,,,en,1.0
43k miles,43k miles,QUANTITY,,,en,1.0
34% to 32%,34% to 32%,PERCENT,,,en,1.0
Between 2015 and 2024,Between 2015 and 2024,CARDINAL,,,en,1.0
1977,1977,DATE,,,en,1.0
Woncha Come on Home,Woncha Come on Home,WORK_OF_ART,,,en,1.0
About a third,About a third,CARDINAL,,,en,1.0
The late ‘90s and 2000s,The late ‘90s and 2000s,DATE,,,en,1.0
$562 million,$562 million,MONEY,,,en,1.0
16 2026,16 2026,DATE,,,en,1.0
the Paternal Sex Ratio,the Paternal Sex Ratio,LAW,,,en,1.0
September 2023,September 2023,DATE,,,en,1.0
#463,#463,CARDINAL,,,en,1.0
4.6-l,4.6-l,CARDINAL,,,en,1.0
Stanley Cup Playoff,Stanley Cup Playoff,EVENT,,,en,1.0
2025-26 Season,2025-26 Season,DATE,,,en,1.0
"60,000","60,000",MONEY,,,en,1.0
2000 watts,2000 watts,QUANTITY,,,en,1.0
3×2,3×2,DATE,,,en,1.0
47k,47k,CARDINAL,,,en,1.0
1 gigawatt,1 gigawatt,QUANTITY,,,en,1.0
20k,20k,CARDINAL,,,en,1.0
43k,43k,CARDINAL,,,en,1.0
April 16,April 16,DATE,,,en,1.0
15,15,CARDINAL,,,en,1.0
Coupe,Coupe,PRODUCT,,,en,1.0
356C,356C,PRODUCT,,,en,1.0
the early 2020s,the early 2020s,DATE,,,en,1.0
This Weekend,This Weekend,DATE,,,en,1.0
Midwestern,Midwestern,NORP,,,en,1.0
Section 702,Section 702,LAW,,,en,1.0
TechCrunch,TechCrunch,PRODUCT,,,en,1.0
Phenomenon,Phenomenon,WORK_OF_ART,,,en,1.0
Naked and Afraid: Global Showdown,Naked and Afraid: Global Showdown,WORK_OF_ART,,,en,1.0
Fourteen,Fourteen,CARDINAL,,,en,1.0
earlier in the week,earlier in the week,DATE,,,en,1.0
More than 51 million,More than 51 million,CARDINAL,,,en,1.0
"The Edge of Space-Time: Particles, Poetry","The Edge of Space-Time: Particles, Poetry",WORK_OF_ART,,,en,1.0
714,714,CARDINAL,,,en,1.0
Kiwi,Kiwi,FAC,,,en,1.0
winter holidays,winter holidays,DATE,,,en,1.0
Robby Has Never Been Your Daddy,Robby Has Never Been Your Daddy,WORK_OF_ART,,,en,1.0
April 16 to April 18,April 16 to April 18,DATE,,,en,1.0
13th April,13th April,DATE,,,en,1.0
Nepal First,Nepal First,NORP,,,en,1.0
short days,short days,DATE,,,en,1.0
the next four years,the next four years,DATE,,,en,1.0
about 150,about 150,CARDINAL,,,en,1.0
Cold Lake,Cold Lake,FAC,,,en,1.0
the second seasons,the second seasons,DATE,,,en,1.0
botI,botI,FAC,,,en,1.0
about 550,about 550,CARDINAL,,,en,1.0
the end of the weekend,the end of the weekend,DATE,,,en,1.0
as much as 50 centimetres,as much as 50 centimetres,QUANTITY,,,en,1.0
Up to 200 mm,Up to 200 mm,QUANTITY,,,en,1.0
April 22,April 22,DATE,,,en,1.0
"more than 160,000","more than 160,000",CARDINAL,,,en,1.0
a couple of degrees,a couple of degrees,CARDINAL,,,en,1.0
"160,000","160,000",CARDINAL,,,en,1.0
More than 61%,More than 61%,PERCENT,,,en,1.0
just an hour,just an hour,TIME,,,en,1.0
More than 70mm,More than 70mm,QUANTITY,,,en,1.0
the past 24 hours,the past 24 hours,TIME,,,en,1.0
the night,the night,TIME,,,en,1.0
up to 15 kilometres per hour,up to 15 kilometres per hour,QUANTITY,,,en,1.0
this wet season,this wet season,DATE,,,en,1.0
year-end,year-end,DATE,,,en,1.0
year-old,year-old,DATE,,,en,1.0
289 million,289 million,MONEY,,,en,1.0
years ago,years ago,DATE,,,en,1.0
5 inches,5 inches,QUANTITY,,,en,1.0
below 3 degrees,below 3 degrees,QUANTITY,,,en,1.0
Apr 26,Apr 26,DATE,,,en,1.0
Cold War,Cold War,EVENT,,,en,1.0
23.6 million barrels,23.6 million barrels,QUANTITY,,,en,1.0
23.6M Oil Barrel Pledge,23.6M Oil Barrel Pledge,QUANTITY,,,en,1.0
Slavic,Slavic,NORP,,,en,1.0
Danish,Danish,NORP,,,en,1.0
billions,billions,CARDINAL,,,en,1.0
over 8 million,over 8 million,CARDINAL,,,en,1.0
every week,every week,DATE,,,en,1.0
Tales From the Crypt,Tales From the Crypt,WORK_OF_ART,,,en,1.0
You're Killing Me,You're Killing Me,WORK_OF_ART,,,en,1.0
Devil in Silver,Devil in Silver,WORK_OF_ART,,,en,1.0
The Audacity,The Audacity,WORK_OF_ART,,,en,1.0
Season 4 - Official Trailer - The Roku Channel,Season 4 - Official Trailer - The Roku Channel,WORK_OF_ART,,,en,1.0
The Great American Baking Show,The Great American Baking Show,WORK_OF_ART,,,en,1.0
This Anzac Day,This Anzac Day,DATE,,,en,1.0
17 2026,17 2026,DATE,,,en,1.0
about 5.5 miles,about 5.5 miles,QUANTITY,,,en,1.0
Indians,Indians,NORP,,,en,1.0
Operation Arctic Frost,Operation Arctic Frost,EVENT,,,en,1.0
"April 12, 2026","April 12, 2026",DATE,,,en,1.0
Highlanders,Highlanders,NORP,,,en,1.0
Hindi,Hindi,NORP,0.0,1.0,en,1.0
45 years,45 years,DATE,,,en,1.0
April 20 onward,April 20 onward,DATE,,,en,1.0
Next week,Next week,DATE,,,en,1.0
March 6–7,March 6–7,DATE,,,en,1.0
April 20,April 20,DATE,,,en,1.0
two months,two months,DATE,,,en,1.0
150th,150th,DATE,,,en,1.0
Hamilton Boys’ High,Hamilton Boys’ High,FAC,,,en,1.0
April 18,April 18,DATE,,,en,1.0
"the Jan. 6, 2021","the Jan. 6, 2021",DATE,,,en,1.0
9 AM,9 AM,TIME,,,en,1.0
nearly 239,nearly 239,CARDINAL,,,en,1.0
Made Me Have A Powerful Realization,Made Me Have A Powerful Realization,WORK_OF_ART,,,en,1.0
Black Saturday,Black Saturday,EVENT,,,en,1.0
Hill Dickinson Stadium,Hill Dickinson Stadium,FAC,,,en,1.0
10 to 15 centimetres,10 to 15 centimetres,QUANTITY,,,en,1.0
War Games,War Games,EVENT,,,en,1.0
700 years,700 years,DATE,,,en,1.0
"April 18, 2026","April 18, 2026",DATE,,,en,1.0
Urdu,Urdu,NORP,,,en,1.0
March 6,March 6,DATE,,,en,1.0
recent years,recent years,DATE,,,en,1.0
Giant,Giant,WORK_OF_ART,,,en,1.0
"April 21st, 2026","April 21st, 2026",DATE,,,en,1.0
Mode,Mode,PRODUCT,,,en,1.0
Daylight,Daylight,TIME,,,en,1.0
2016,2016,DATE,,,en,1.0
12th,12th,DATE,,,en,1.0
40 days,40 days,DATE,,,en,1.0
Yemeni,Yemeni,NORP,,,en,1.0
thousands of dollars,thousands of dollars,MONEY,,,en,1.0
ten,ten,CARDINAL,,,en,1.0
March 26,March 26,DATE,,,en,1.0
75 million,75 million,CARDINAL,,,en,1.0
Just 10 days,Just 10 days,DATE,,,en,1.0
two years,two years,DATE,,,en,1.0
2015,2015,DATE,,,en,1.0
11 years,11 years,DATE,,,en,1.0
11 Years Later,11 Years Later,DATE,,,en,1.0
Fi Thriller Epic Soars Back Onto Streaming Charts,Fi Thriller Epic Soars Back Onto Streaming Charts,WORK_OF_ART,,,en,1.0
Complete List,Complete List,WORK_OF_ART,,,en,1.0
The Rocky Horror Show,The Rocky Horror Show,WORK_OF_ART,,,en,1.0
A few days before Christmas,A few days before Christmas,DATE,,,en,1.0
"15,000","15,000",CARDINAL,,,en,1.0
Laken Riley Act,Laken Riley Act,LAW,,,en,1.0
77%,77%,PERCENT,,,en,1.0
January 23,January 23,DATE,,,en,1.0
January 24,January 24,DATE,,,en,1.0
the hour,the hour,TIME,,,en,1.0
as little as 24 hours,as little as 24 hours,QUANTITY,,,en,1.0
"April 08, 2026 (GLOBE NEWSWIRE","April 08, 2026 (GLOBE NEWSWIRE",DATE,,,en,1.0
Rio Sil,Rio Sil,WORK_OF_ART,,,en,1.0
"April 08, 2026 (GLOBE NEWSWIRE)","April 08, 2026 (GLOBE NEWSWIRE)",DATE,,,en,1.0
Peruvian,Peruvian,NORP,,,en,1.0
the Maria Norte,the Maria Norte,FAC,,,en,1.0
74 %,74 %,PERCENT,,,en,1.0
$6.7M,$6.7M,MONEY,,,en,1.0
85 %,85 %,PERCENT,,,en,1.0
recent months,recent months,DATE,,,en,1.0
700 billion,700 billion,CARDINAL,,,en,1.0
the Summer of Love,the Summer of Love,DATE,,,en,1.0
Tens of thousands,Tens of thousands,CARDINAL,,,en,1.0
Pistons,Pistons,PRODUCT,,,en,1.0
Winter Days,Winter Days,DATE,,,en,1.0
late Tuesday,late Tuesday,DATE,,,en,1.0
Late-season,Late-season,DATE,,,en,1.0
mid-week,mid-week,DATE,,,en,1.0
a couple of weeks early,a couple of weeks early,DATE,,,en,1.0
4/15,4/15,CARDINAL,,,en,1.0
This 1999,This 1999,DATE,,,en,1.0
several months,several months,DATE,,,en,1.0
Life‑threatening,Life‑threatening,WORK_OF_ART,,,en,1.0
1999,1999,CARDINAL,,,en,1.0
Heatwaves,Heatwaves,PRODUCT,,,en,1.0
Nonsurvivable,Nonsurvivable,WORK_OF_ART,,,en,1.0
the end of the month,the end of the month,DATE,,,en,1.0
more than $12 million,more than $12 million,MONEY,,,en,1.0
4Runner Limited 4WD,4Runner Limited 4WD,PRODUCT,,,en,1.0
48,48,CARDINAL,,,en,1.0
Limited,Limited,PRODUCT,,,en,1.0
the winter months,the winter months,DATE,,,en,1.0
141,141,CARDINAL,,,en,1.0
"3,747","3,747",CARDINAL,,,en,1.0
"57,376","57,376",CARDINAL,,,en,1.0
October 1999,October 1999,DATE,,,en,1.0
98%,98%,PERCENT,,,en,1.0
balmy January,balmy January,DATE,,,en,1.0
Ghost Fleet,Ghost Fleet,WORK_OF_ART,,,en,1.0
Late Tuesday,Late Tuesday,DATE,,,en,1.0
$6.7 million,$6.7 million,MONEY,,,en,1.0
every day,every day,DATE,,,en,1.0
This week,This week,DATE,,,en,1.0
Weekly,Weekly,DATE,,,en,1.0
Viking,Viking,NORP,,,en,1.0
three-row,three-row,DATE,,,en,1.0
1993,1993,DATE,,,en,1.0
early March,early March,DATE,,,en,1.0
a few years after,a few years after,DATE,,,en,1.0
Winter Storm Is Going to Suck Extra Bad,Winter Storm Is Going to Suck Extra Bad,WORK_OF_ART,,,en,1.0
Coronation Egg,Coronation Egg,FAC,,,en,1.0
"2,000 miles","2,000 miles",QUANTITY,,,en,1.0
Seven-day,Seven-day,DATE,,,en,1.0
next season,next season,DATE,,,en,1.0
Anglo-Saxon,Anglo-Saxon,NORP,,,en,1.0
the chilly winter season,the chilly winter season,DATE,,,en,1.0
Roman,Roman,NORP,,,en,1.0
Celtic,Celtic,NORP,,,en,1.0
two thousand years,two thousand years,DATE,,,en,1.0
January 2026,January 2026,DATE,,,en,1.0
